Article_No,Title,Content
مادة 10,19 : تلتزم المؤسـسـات المالية وأصـحاب المهن واألعم,19 : تلتزم المؤسـسـات المالية وأصـحاب المهن واألعمال غير المالية بإمسـار سـجالت ومسـتندات لقيد ما تجريه من العمليات المالية المحلية أو الدولية تتضــــــــمن البيانات الكافية لل تعرف على هذه العمليات، وعليها أن تحتفظ لهذه الســـــجالت والمســـــتندات وبســـــجالت ليانات العمالء والمســـــتفيدين الحقيقيين من األشـخاص الطبيعيين، واألشـخاص اةعتبارية لمدة ة تقل عن خمس سـنوات من تاريخ انتهاء التعامل معها أو من تاريخ قفل الحســــــــاب على حســــــــب األحوال ما لم تطل ب الوحدة أو سلطات التحقيق اةحتفاظ لها لمدة تزيد عن ذلك، وتلتزم المؤسسات المالية وأصحاب المهن واألعمال غير المالية لتحديث هذه البيانات بصــفة دورية وأن تضــع هذه الســجالت والمســتندات تحا تصــرف .السلطات القضائية عند نلبها 18 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 19 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 10 ويجوز لتلك المؤســــــــســــــــات المالية وأصــــــــحاب المهن واألعمال غير المالية اةحتفاظ للمدة المذكورة بالصـــور المصـــغرة الميكروفيلمية لدةً من األصـــل، وتكون لتلك الصـــور حجية األصـــل فى .اإلثبات إذا روعى فى إعدادها وحفظها واسترجاعها القواعد التى يصدر لها قرار من الوحدة
مادة 11,ًمكررا 20 : تلتزم جميع الجهات، كل فيما يخصـــه، با,ًمكررا 20 : تلتزم جميع الجهات، كل فيما يخصـــه، باةحتفاظ بإحصـــائيات شــاملة تضـــمن فاعلية وكفاءة نظم مكافحة غســـــــل األموال وتمويل اإلرهاب، وذلك كله على النحو الذى تحدده الالئحة التنفيذية لهذا .القانون
مادة 12,ًمكررا- 1 21 : تلتزم المؤســــســـات المالية، وأصـ,ًمكررا- 1 21 : تلتزم المؤســــســـات المالية، وأصـــحاب المهن واألعمال غير المالية، وكل شــــخص نبيعي أو اعتباري يمكن أن يكون بحوزته أموال أو أصــــول أخرى ذات صــــلة باألشــــخاص أو الكيانات المدرجة بموجب قرارات مجلس األمن ذات الصـلة لتمويل اإلرهاب وتمويل انتشـار أسـلحة الدمار الشـامل لتنفيذ اآلليات التى تصدرها الوحدة تطبيقا لتلك القرارات إعم ال لحكم المادة 21 من هذا القانون، بما يشمل ،التجميد واةمتناع عن تقديم الخدمات المالية لهؤةء األشخاص والكيانات. وتنشر اآلليات ًالتى تصدرها الوحدة تطبيقا للفقرة األولى من هذه المادة بالوقائع المصرية.
مادة 13,22 : تنتفى المســــئولية الجنائية والمدنية عن كل م,22 : تنتفى المســــئولية الجنائية والمدنية عن كل من قام بحســــن نية لواجب اإلخطار للوحدة عن أي من العمليات المشتبه فيها الخامعة ألحكام هذا القانون، أو تقديم معلومات أو ليانات للوحدة .بالمخالفة للقواعد المفرومة لضمان سريتها وتحدد الالئحة التنفيذية للقانون الضواب.الواجب إتباعها في هذا الشأن
مادة 14,: يحظر اإلفصاح للعميل أو المستفيد أو لغير السلطات,: يحظر اإلفصاح للعميل أو المستفيد أو لغير السلطات والجهات المختصة لتطبيق أحكام هذا القانون عن أى إجراء من إجراءات اإلخطار أو التحرى أو الفحص التى تتخذ فى شـــــــــأن المعامالت 20 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 21 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 22 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2020 11 المالية المشتبه فى أنها تشكل متحصالت أو23تتضمن غسل أموال أو تمويل اإلرهاب، أو عن البيانات .المتعلقة لها
مادة 15,24 : مع عدم اإلخالل بأحكام القانون الذى ينظم البنك,24 : مع عدم اإلخالل بأحكام القانون الذى ينظم البنك المركزي والجهاز المصــــــــرفي25 ، يجب على كل شخص عند دخوله إلى البالد أو مغادرته لها اإلفصاح للسلطات الجمركية عن حقيقة ما يحمـــــــــله من النقد األجنبي واألدوات القاللة للتداول لحاملها، ويكون اةفصــــاح وفقا للقواعد واإلجراءات والحدود .التي تومحها الالئحة التنفيذية وللسـلطات الجمركية من مأموري الضـب القضـائي، في حالة عدم القيام لواجب اإلفصـاح، أو تقديم ليانات غير صــحيحة بشــأنه، ســؤال المخالص عن مصــدر ما بحوزته من النقد اةجنبي واألدوات .القاللة للتداول لحاملها المشار إليها، وأغراض استخدامها وتتولى هذه السلطات اتخاذ إجراءات مب النقد واألدوات القاللة للتداول لحاملها في الحاةت المنصـوص عليها في الفقرة السـابقة، وكذلك عند قيام دةئل جدية على أنها تتضـمن غسـل األموال أو تمويل اإلرهاب، على أن تُرســل ما تحرره من محامــر في هذا الشــأن إلى الســلطات المختصــة إلجراء .شئونها فيها
مادة 16,: مع عدم اإلخالل بأية عقوبة أشد ينص عليها قانون ال,: مع عدم اإلخالل بأية عقوبة أشد ينص عليها قانون العقوبات أو أى قانون آخر، يعاقب على الجرائم المبينة فى .المواد التالية بالعقوبات المنصوص عليها فيها
مادة 17,26 : يعاقب بالســــجن مدة ة تجاوز ســــبع ســــنوا,26 : يعاقب بالســــجن مدة ة تجاوز ســــبع ســــنوات وبغرامة تعادل مثلى األموال أو األصــــول محل الجريمة، كل من ارتكب أو شرع فى ارتكاب جريمة غسل األموال المنصوص عليها فى المادة2 من .هذا القانون وتستثنى هذه الجر يمة من تطبيق أحكام الفقرة الثانية من المادة 32 . من قانون العقوبات 23 تم إمافة عبارة تشكل متحصالت أو بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 24 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 25 معدلة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 26 معدلة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 12
مادة 18,ًمكررا 27 : يحكم بمصادرة األموال أو األصول المضبون,ًمكررا 27 : يحكم بمصادرة األموال أو األصول المضبونة والمتحصالت28 الناتجة عن جريمة غسل األموال أو الجريمة األصلية، عند مخالفة حكم المادة2 : من هذا القانون، وتشمل المصادرة ما يأتي 1 - .األموال أو األصول المغسولة 2 - .المتحصالت، بما في ذلك الدخل أو المنافع األخرى المتأتية من هذه المتحصالت فإذا اختلطا المتحصالت بأموال اكتسبا من مصادر مشروعة، فيصادر منها ما يعادل القيمة المقدرة لها أو للوسائ المستخدمة أو التي أعدت ةستخدامها في جرائم غسل األموال أو الجرائم .األصلية ويحكم بغرامة إمافية تعادل قيمة األموال أو األصول في حالة تعذر مبطها أو في حالة .التصرف فيها إلى الغير حسن النية
مادة 19,ًمكررا- 1 29 : يعاقب بالحبس مدة ة تجاوز ثالثة أشهر,ًمكررا- 1 29 : يعاقب بالحبس مدة ة تجاوز ثالثة أشهر وبغرامة ة تقل عن المبلغ المالى محل الجريمة وة تزيد على أربعة أمثال ذلك المبلغ، أو بإحدى هاتين العقوبتين، كل من خالص أياً من أحكام المادة12 .من هذا القانون وفى جميع األحوال، تضب المبالغ واألشياء محل الدعوى ويحكم بمصادرتها، فإن لم تضب .حكم بغرامة إمافية تعادل قيمتها
مادة 20,30 : يعاقب بالحبس والغرامة التى ةتقل عن مائة ألص ج,30 : يعاقب بالحبس والغرامة التى ةتقل عن مائة ألص جنيه وة تجاوز خمســــــــمائة ألص جنيه أو بإحدى هاتين العقوبتين كل من يخالـص أياً من أحكام المواد أرقام11،9،8 . من هذا القانون
مادة 21,مكررًا31 : يعاقب بالحبس مدة ة تجاوز سنة أو بغرامة,مكررًا31 : يعاقب بالحبس مدة ة تجاوز سنة أو بغرامة ة تقل عن مبلغ مائة ألص جنيه و ة تجاوز مبلغ ثالثمائة ألص جنيه كل من خالص أحكام المادة 9 ًمكررا 1 من هذا القانون. 27 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 28 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 29 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 30 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 31 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 . 13
مادة 22,32 : في األحوال التي ترتكب فيها الجريمة لواســـطة,32 : في األحوال التي ترتكب فيها الجريمة لواســـطة شـــخص اعتبارى يعاقب المســـئول عن اإلدارة الفعلية لهذا الشــخص اةعتباري بالعقوبات ذاتها المق ررة عن األفعال التى تُرتكب بالمخالفة ألحكام هذا .القانون إذا ثبا علمه لها وكانا الجريمة قد وقعا بسبب إخالله لواجبات وظيفته ،ويعاقب الشخص اةعتباري بغرامة ة تقل عن مائة ألص جنيه وة تجاوز خمسة ماليين جنيه ويكون مسئوةً بالتضامن عن الوفاء بما يحكم به من عق وبات مالية وتعويضات إذا كانا الجريمة التى وقعا بالمخالفة ألحكام هذا القانون قد ارتكبا من أحد العاملين به باسمه ولصالحه، ويجوز للمحكمة أن تقضــــى بمنع الشــــخص اةعتباري من مزاولة نشــــانه لمدة محددة أو بإلغاء الترخيص الممنوح له .بمزاولة النشاط وتأمر المحكمة في الحكم الصـــــادر باإلدانة لنشـــــر الحكم على نفقة الشـــــخص اةعتباري في .جريدتين يوميتين واسعتي اةنتشار
مادة 23,ًمكررا 33 : مع عدم اإلخالل بأحكام القوانين المنظمة,ًمكررا 33 : مع عدم اإلخالل بأحكام القوانين المنظمة لعمل المؤسـسـات المالية وأصـحاب المهن واألعمال غير المالية، يكون للجهات المختصـــة بالرقابة المشـــار إليها في المادة7 من هذا القانون أن تتخذ تجاه المؤســـــســـــات والجهات التابعة لرقالتها عند مخالفة أحكام هذا القانون أو القرارات أو اآلليات أو :القواعد أو الضواب الصادرة تنفيذاً له، أياً من اإلجراءات اآلتية 1 - .توجيه تنبيه 2 - اإللزام بإزالة المخالفة واتخاذ إجراءات تصحيحية خال.ل مدة محددة 3 - .منع مزاولة األعمال أو تعليقها أو تقييدها أو وقف النشاط وذلك لمدة ة تجاوز سنة وتحدد الالئحة التنفيذية لهذا القانون مواب وإجراءات تنفيذ ذلك.
مادة 24,: فى حالة تعدد الجناة فى جريمة غســــــــل األموال,: فى حالة تعدد الجناة فى جريمة غســــــــل األموال، إذا بادر أحدهم بإلالغ أى من الســــــــلطات المختصــــة باةســــتدةل أو،التحقيق بالجريمة وباقى الجناة فيها قبل أول علم ألي من هذه الســــلطات ،لها أو أللغ بعد علم الســــلطات بالجريمة وأدى تبليغه إلى مــــب باقي الجناة أو األموال أو األصــــول محل الجريمة، تقضـــى المحكمة متى قدرت توافر هذه الشـــروط- بإعفاء الجانى المبلغ من عقوبتى 32 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 33 معدلة بموجب قرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 14 الســــــــجن والغرامـة المقررتين فى الفقرة األولى من المـادة14 من هـذا القـانون، دون غيرهمـا من .العقوبات التكميلية المقررة فى الفقرة الثانية من المادة ذاتها
مادة 25,ًمكررا 34 : مع عدم اإلخالل بحقو الغير حســــــــن,ًمكررا 34 : مع عدم اإلخالل بحقو الغير حســــــــن النية، يجوز للنائب العام والمدع ،ى العام العســــــــكرى بحسب األحوال، لناءً على نلب من رئيس مجلس أمناء الوحدة، عند الضرورة أو في حالة اةستعجال أن يأمر بفرض تدالير تحفظية تشـــــتمل على التجميد أو الحجز، لهدف منع التصـــــرف في األموال أو األصول ذات الصلة بجرائم غسل األموال والجرائم األصلية المرتبطة لها.أو تمويل اإلرهاب ويتبع في إصــــــدار التدالير المشــــــار إليها بالفقرة األولى من هذه المادة، والتظلم منها أحكام المواد من208 مكرراًأ إلى208 .مكرراً ه من قانون اإلجراءات الجنائية
مادة 26,ًمكررا- 1 35 : يجب على جهات إنفاذ القانون وســلطات,ًمكررا- 1 35 : يجب على جهات إنفاذ القانون وســلطات التحقيق في قضــايا غســل األموال والجرائم األصــلية المرتبطة لها وجرائم تمويل اإلرهاب إجراء التحقيقات المالية الموازية لنفســــها أو باةســــتعانة بمن تراه من الجهات األخرى المختصة لتحديد مصدر هذه األموال أو األصول إن وجدت.
مادة 27,36 : تتبادل الجهات القضائية المصرية مع الجهات القض,36 : تتبادل الجهات القضائية المصرية مع الجهات القضائية األجنبية التعاون القضائي فى مجال جرائم غسـل األموال والجرائم األصـلية المرتبطة، وجرائم تمويل اإلرهاب، وذلك بالنسـبة إلى المسـاعدات واإلنابات القضـــائية وتســـليم المتهمين والمحكوم عليهم واألشـــياء، وذلك كله وفق القواع د التى تقررها .اةتفاقيات الثنائية أو المتعددة األنراف التى تكون مصر نرفاً فيها أو وفقا لمبدأ المعاملة بالمثل
مادة 28,ًمكررا37 : تلتزم الجهات، بشــــــــكل تلقائى أو لن,ًمكررا37 : تلتزم الجهات، بشــــــــكل تلقائى أو لناءً على نلب الجهات النظيرة في الدول األخرى، لتوفير أكبر قدر ممكن من التعاون الدولى لمكافحة غســـــل األموال والجرائم األصـــــلية المرتبطة لها أو تمويل اإلرهاب، وذلك بما ة يتعارض مع المبادئ األساسية للنظام القانوني في الدولة، ويضمن الحفاظ على .سرية ذلك التعاون 34 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 35 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 . 36 تم إمافة والجرائم األصلية المرتبطة بعد عبارة غسل األموالبموج ب قرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 37 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 15
مادة 29,ًمكررا- 1 38 : تســتخدم الجهات دون غيرها المعلومات,ًمكررا- 1 38 : تســتخدم الجهات دون غيرها المعلومات التي تحصــلا عليها من خالل التعا ون القضــائي في مجال جرائم غسل األموال والجرائم األصلية المرتبطة لها أو تمويل اإلرهاب في الغرض الذي نلبا من أجله، ما لم تكن قد تحصــلا على ترخيص مســبق بغير ذلك من الســلطة األجنبية النظيرة التي وفرت لهـا المعلومـات، ويتعين عليهـا في الحـالـة األخيرة أن تفيـد الســــــــلطـة الت ي تعـاونـا معهـا في الوقـا المناســب باســتخدام المعلومات التي حصــلا عليها واآلثار المترتبة على ذلك على النحو الذي تحدده .الالئحة التنفيذية لهذا القانون
مادة 30,ًمكررا- 2 39 : ة يجوز رفض نلبات المســــــــاعدة ا,ًمكررا- 2 39 : ة يجوز رفض نلبات المســــــــاعدة القانونية المتبادلة اســــــــتناداً إلى أحكام الســــــــرية الملزمة للمؤســـــســـــات المالية، أو لمجرد أن الجريمة تشـــــتمل على أمور مـــــريبية، وذلك بما ة يتعارض مع .المبادئ األساسية للنظام القانوني في الدولة
مادة 31,ًمكررا- 3 40 : يجوز للجهات إجراء اســـــــتعالمات,ًمكررا- 3 40 : يجوز للجهات إجراء اســـــــتعالمات بالنيابة عن الجهات األجنبية النظيرة لها، وتبادل أكبر قدر ممكن من المعلومات التي تحصــــل عل يها منها، وذلك بما ة يتعارض مع المبادئ األســــاســــية للنظام .القانوني في الدولة على النحو الذى تحدده الالئحة التنفيذية لهذا القانون
مادة 32,: يكون للــــــجهات المــــــشار اليها فى المـــــ,: يكون للــــــجهات المــــــشار اليها فى المــــــادة18 من هذا القانون أن تطلــــــب- على وجه الخصــــوص اتخاذ اإلجراءات القانونية الالزمة لتعقب أو تجميد األموال أو األصــــول مومــــوع جرائم غســـــل األموال وجرائم تمويل اإلرهاب أو عائداتها أو الحجز عليها، وذلك كله مع عدم اإلخالل بحقو .الغير حسن النية
مادة 33,: يجوز للجهات القضائية المصرية المختصة أن تأمر لتن,: يجوز للجهات القضائية المصرية المختصة أن تأمر لتنفيذ األحكام الجنائية النهائية الصادرة من الجهات القضـــائية األجنبية المختصـــة بمصــادرة األموال أو األصـــول المتحصـــلة من جرائم غســـل 38 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 39 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 40 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 16 األموال وجرائم تمويل اإلرهاب أوعائداتها، وذلك كله وفق القواعد واإلجراءات التى تتضـــمنها اةتفاقيات الثنائية أو متعددة األنراف التى تكون مصر .نرفاً فيها كما يجوز إلرام اتفاقيات ثنائية أو متعددة األنراف تنظم التصــــــــرف فى حصــــــــيلة األموال أو األصول المحكوم نهائيا بمصادرتها فى جرائم غسل األموال وجرائم تمويل اإلرهاب من جهات قضائية مصـرية أو أجنبية تتضـمن قواعد توزيع تلك الحصـيلة لين أنراف اةتفاقية وفقا لألحكام التى تنص .عليها
مادة 34,41 : تتخذ الوحدة اةجراءات الالزمة لتنفيذ التزامات,41 : تتخذ الوحدة اةجراءات الالزمة لتنفيذ التزامات مصر وفقاً لالتفاقيات والمعاهدات والمواثيق الدولية ذات الصلة لتمويل اإلرهاب وتمويل انتشار أسلحة الدمار الشامل، وذلك على النحو الذى تحدده .الالئحة التنفيذية 41 مضافة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . ...
